iter	Passed	Remaining
854	46628	7907
855	46677	7852
856	46727	7797
857	46780	7742
858	46835	7687
859	46889	7633
860	46942	7578
861	46995	7523
862	47046	7468
863	47094	7413
864	47144	7357
865	47194	7302
866	47248	7248
867	47298	7192
868	47346	7137
869	47397	7082
870	47448	7027
871	47498	6972
872	47549	6917
873	47605	6863
874	47655	6807
875	47705	6752
876	47758	6698
877	47808	6643
878	47858	6588
879	47906	6532
880	47955	6477
881	48005	6422
882	48056	6367
883	48105	6312
884	48156	6257
885	48203	6202
886	48257	6147
887	48318	6094
888	48388	6041
889	48454	5988
890	48528	5936
891	48731	5900
892	48807	5848
893	48873	5794
894	48938	5741
895	49003	5687
896	49070	5634
897	49138	5581
898	49197	5527
899	49255	5472
900	49316	5418
901	49367	5363
902	49421	5308
903	49476	5254
904	49531	5199
905	49588	5144
906	49639	5089
907	49689	5034
908	49739	4979
909	49795	4924
910	49848	4869
911	49905	4815
912	49969	4761
913	50036	4708
914	50087	4652
915	50143	4598
916	50193	4543
917	50252	4488
918	50309	4434
919	50368	4379
920	50423	4325
921	50482	4270
922	50547	4216
923	50600	4161
924	50655	4107
925	50702	4051
926	50751	3996
927	50807	3941
928	50858	3886
929	50909	3831
930	50958	3776
931	51007	3721
932	51071	3667
933	51134	3613
934	51186	3558
935	51249	3504
936	51310	3449
937	51370	3395
938	51441	3341
939	51518	3288
940	51591	3234
941	51658	3180
942	51720	3126
943	51838	3075
944	51895	3020
945	51943	2965
946	51995	2909
947	52046	2854
948	52098	2799
949	52145	2744
950	52199	2689
951	52266	2635
952	52320	2580
953	52380	2525
954	52440	2470
955	52505	2416
956	52570	2362
957	52644	2308
958	52709	2253
959	52783	2199
960	52847	2144
961	52904	2089
962	52982	2035
963	53061	1981
964	53128	1926
965	53182	1871
966	53234	1816
967	53281	1761
968	53331	1706
969	53381	1650
970	53432	1595
971	53480	1540
972	53529	1485
973	53577	1430
974	53632	1375
975	53685	1320
976	53735	1265
977	53787	1209
978	53837	1154
979	53888	1099
980	53938	1044
981	53989	989
982	54038	934
983	54085	879
984	54133	824
985	54185	769
986	54234	714
987	54284	659
988	54333	604
989	54387	549
990	54449	494
991	54501	439
992	54559	384
993	54611	329
994	54660	274
995	54708	219
996	54756	164
997	54806	109
998	54856	54
999	54904	0
